"Serie","Periodo","Población_con_inseguridad_alimentaria_moderada_o_severa|Nacional","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres","Población_con_inseguridad_alimentaria_moderada_o_severa|Población_analfabeta","Población_con_inseguridad_alimentaria_moderada_o_severa|Población_indígena","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_indígenas","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_indígenas","Población_con_inseguridad_alimentaria_moderada_o_severa|Personas_con_discapacidad","Población_con_inseguridad_alimentaria_moderada_o_severa|Primera_infancia_(0_a_5_años)","Población_con_inseguridad_alimentaria_moderada_o_severa|Niños_y_niñas_(menores_de_18_años)","Población_con_inseguridad_alimentaria_moderada_o_severa|Jóvenes_(los_de_12_a_29_años)","Población_con_inseguridad_alimentaria_moderada_o_severa|Adultos_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_adultos_mayores","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_adultos_mayores","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_inseguridad_alimentaria_moderada_o_severa|Ámbito_rural","Población_con_inseguridad_alimentaria_moderada_o_severa|Ámbito_urbano",
"Población_de_referencia","2022","128,887.659","61,787.053","67,100.606","12,114.948","12,708.046","6,119.149","6,588.897","8,712.437","10,126.338","37,207.863","37,745.963","12,588.256","5,633.058","6,955.198","38,666.632","1,196.291","42,666.616","6,285.728","39,051.763","795.858","35,141.319","13,806.274","31,764.789","97,122.87",
"Población_de_referencia","2020","126,742.218","61,272.811","65,469.407","12,467.476","11,665.155","5,670.746","5,994.409","8,314.751","10,658.273","37,044.81","38,160.312","11,885.405","5,414.729","6,470.676","38,674.519","1,192.772","41,532.072","6,154.506","38,986.349","880.477","33,241.695","14,466.889","29,247.943","97,494.275",
"Población_de_referencia","2018","123,827.115","60,120.933","63,706.182","12,795.324","11,869.317","5,853.032","6,016.285","ND","11,756.253","38,937.593","37,839.867","10,310.474","4,723.858","5,586.616","35,924.076","1,182.945","38,105.656","6,948.169","36,470.229","650.473","31,661.959","13,418.993","30,207.28","93,619.835",
"Población_de_referencia","2016","120,794.142","58,453.721","62,340.421","12,910.846","11,288.079","5,479.23","5,808.849","ND","12,160.555","39,777.735","36,979.395","9,448.216","4,309.043","5,139.173","35,301.704","1,357.268","37,274.54","7,252.07","36,063.699","593.962","31,374.858","13,162.446","27,829.3","92,964.842",
