"Serie","Periodo","Hablantes_de_lengua_indígena|Total_(15_años_y_más)","Hablantes_de_lengua_indígena|Mujeres_(15_años_y_más)","Hablantes_de_lengua_indígena|Hombres_(15_años_y_más)",
"Tiempo_dedicado_al_trabajo_doméstico","2024","3.363340633","4.883542706","1.410608845",
"Tiempo_dedicado_al_trabajo_doméstico","2019","3.566038972","5.365394205","1.406457083",
"Tiempo_dedicado_al_trabajo_doméstico","2014","3.489576514","5.508421996","1.127336535",
