"Periodo","Porcentaje_de_alumnos_que_asisten_a_escuelas_de_organización_escolar_multigrado_-_Hombres",
"2024","15.34916",
"2023","15.41194",
"2022","15.5008",
"2021","16.2848",
"2020","15.73588",
"2019","15.3304",
"2018","16.36244",
"2017","15.95853",
"2016","15.47882",
