"Periodo","Número_de_toneladas_transportadas_vía_marítimo",
"2024","272,634,528",
"2023","295,329,671",
"2022","287,457,715",
"2021","286,802,011",
"2020","266,895,131",
"2019","303,258,618",
"2018","316,424,409",
"2017","308,088,946",
"2016","297,198,806",
"2015","292,645,535",
"2014","286,549,152",
"2013","288,696,135",
"2012","283,461,709",
"2011","282,902,400",
"2010","272,811,300",
