"Periodo","Número_de_toneladas_transportadas_vía_autotransporte_federal",
"2024","572,028,000",
"2023","565,727,000",
"2022","548,159,000",
"2021","534,469,000",
"2020","512,726,000",
"2019","552,318,000",
"2018","556,411,000",
"2017","546,588,000",
"2016","535,548,000",
"2015","522,990,000",
"2014","511,340,000",
"2013","502,150,000",
"2012","498,147,000",
"2011","485,502,000",
"2010","470,000,000",
