"Periodo","Canasta_mensual_(1.25_dlls)",
"2020","357.0856875",
"2018","332.671298063819",
"2016","297.307124463261",
"2014","282.114361588861",
"2012","261.823356139157",
"2010","242.097222027075",
"2008","222.220574652398",
"2006","202.331922400098",
"2005","195.554311492013",
"2004","188.125007227379",
"2002","172.501516495426",
"2000","154.662376943908",
"1998","121.597338414685",
"1996","88.3422572705284",
"1994","47.780322848257",
"1992","40.8360613780812",
