"Serie","Periodo","Ámbito|Total","Ámbito|Urbano","Ámbito|Rural",
"Población_total","2020","127,427,694","79,556,124","47,871,570",
"Población_total","2018","125,091,790","76,100,871","48,990,919",
"Población_total","2016","122,643,890","76,573,341","46,070,549",
"Población_total","2014","119,906,312","74,832,715","45,073,597",
"Población_total","2012","117,284,429","73,214,176","44,070,253",
"Población_total","2010","114,559,931","71,561,510","42,998,421",
"Población_total","2008","111,611,544","69,718,568","41,892,976",
"Población_total","2006","108,578,347","67,798,122","40,780,225",
"Población_total","2005","103,934,163","65,368,254","38,565,909",
"Población_total","2004","102,988,791","64,389,346","38,599,445",
"Población_total","2002","100,854,320","62,350,602","38,503,718",
"Población_total","2000","98,310,615","60,023,602","38,287,013",
"Población_total","1998","95,261,153","57,996,330","37,264,823",
"Población_total","1996","92,695,009","56,400,798","36,294,211",
"Población_total","1994","89,773,052","53,940,082","35,832,970",
"Población_total","1992","86,900,545","52,291,855","34,608,690",
