"Periodo","PIB_a_precios_corrientes",
"2020","23,357,377.84",
"2018","23,524,390.183",
"2016","20,129,057.371",
"2014","17,484,305.607",
"2012","15,817,754.584",
"2010","13,366,377.171",
"2008","12,353,845.281",
"2006","10,630,939.426",
"2005","9,562,648.113",
"2004","8,828,367.434",
"2002","7,455,459.195",
"2000","6,693,683.014",
"1998","4,810,123.454",
"1996","3,123,167.939",
"1994","1,781,422.46",
"1992","1,560,093.286",
