"Periodo","Consumo_privado_a_precios_corrientes",
"2020","14,740,176.716",
"2018","15,238,385.108",
"2016","13,189,005.444",
"2014","11,515,260.543",
"2012","10,237,972.5",
"2010","8,734,843.839",
"2008","8,268,754.537",
"2006","7,150,743.782",
"2005","6,562,652.734",
"2004","6,031,743.84",
"2002","5,193,620.067",
"2000","4,547,571.103",
"1998","3,206,966.198",
"1996","2,088,545.294",
"1994","1,222,639.762",
"1992","1,082,485.02",
