"Periodo","Deflactor(base_2020=100)",
"2020","1",
"2018","0.93162876505326",
"2016","0.83259322585776",
"2014","0.790046679170979",
"2012","0.7332227678242",
"2010","0.677980749444279",
"2008","0.622317226456738",
"2006","0.566620084430289",
"2005","0.547639735608314",
"2004","0.526834353245756",
"2002","0.483081575470385",
"2000","0.433123987765285",
"1998","0.340527057429835",
"1996","0.247397922579936",
"1994","0.133806323022277",
"1992","0.11435927792004",
