"Periodo","Propensión_marginal_a_consumir_(ConsPr/PIB)",
"2020","0.6310715534",
"2018","0.6477696123",
"2016","0.6552222094",
"2014","0.6586055404",
"2012","0.647245628",
"2010","0.6534937423",
"2008","0.6693263797",
"2006","0.6726351732",
"2005","0.6862798522",
"2004","0.6832230177",
"2002","0.6966197428",
"2000","0.6793825004",
"1998","0.6667118274",
"1996","0.6687265414",
"1994","0.6863278023",
"1992","0.693859162",
