"Serie","Periodo","Regiones|Total","Regiones|Localidad_de_15_000_y_más_habitantes","Regiones|Localidad_de_menos_de_15_000_habitantes","Regiones|Región_Noroeste_(Baja_California,_Baja_California_Sur,_Chihuahua,_Durango,_Sinaloa,_Sonora)","Regiones|Región_Noreste_(Coahuila,_Nuevo_León,_San_Luis_Potosí,_Tamaulipas)","Regiones|Región_Occidente_y_Bajío_(Aguascalientes,_Guanajuato,_Jalisco,_Michoacán,_Nayarit,_Querétaro,_Zacatecas,_Colima)","Regiones|Región_Ciudad_de_México_(Ciudad_de_México)","Regiones|Región_Centro_Sur_y_Oriente_(Estado_de_México,_Hidalgo,_Morelos,_Puebla,_Tlaxcala,_Veracruz)","Regiones|Región_Sur_(Campeche,_Chiapas,_Guerrero,_Quintana_Roo,_Tabasco,_Yucatán,_Oaxaca)",
"Población_total","2024","86,621,605","56,723,537","29,898,068","11,221,652","10,489,776","18,200,076","6,922,699","25,927,264","13,860,138",
"Población_total","2021","83,684,692","54,213,170","29,471,522","10,696,893","10,109,671","17,367,359","6,771,563","25,369,927","13,369,279",
"Población_total","2018","79,096,971","51,490,246","27,606,725","10,233,473","9,466,643","16,115,842","6,120,089","24,575,642","12,585,282",
"Población_total","2015","76,157,088","49,410,635","26,746,453","NA","NA","NA","NA","NA","NA",
