"Periodo","Proporción_de_la_población_que_utiliza_servicios_de_saneamiento_gestionados_de_manera_segura",
"2022","89.2434444804546",
"2020","88.6780576805193",
"2018","86.5805365803783",
"2016","86.2716993076459",
"2014","84.946972599741",
