"Periodo","Rendimiento_de_cultivos_básicos_en_zonas_con_infraestructura_de_riego",
"2023","8.11577030594535",
"2022","7.76187151059972",
"2021","7.7369947628558",
"2020","7.54073974800261",
"2019","7.73647844087804",
"2018","7.42450756270599",
"2017","7.250467108295",
"2016","7.24845022092524",
"2015","6.67215005524388",
"2014","6.59253069806696",
"2013","6.5076036483331",
"2012","6.60449958368519",
