"Serie","Periodo","Regiones_Hidrológico-Administrativas_(RHA)|Nacional","Regiones_Hidrológico-Administrativas_(RHA)|I_Península_de_Baja_California","Regiones_Hidrológico-Administrativas_(RHA)|II_Noroeste","Regiones_Hidrológico-Administrativas_(RHA)|III_Pacífico_Norte","Regiones_Hidrológico-Administrativas_(RHA)|IV_Balsas","Regiones_Hidrológico-Administrativas_(RHA)|V_Pacífico_Sur","Regiones_Hidrológico-Administrativas_(RHA)|VI_Río_Bravo","Regiones_Hidrológico-Administrativas_(RHA)|VII_Cuencas_Centrales_del_Norte","Regiones_Hidrológico-Administrativas_(RHA)|VIII_Lerma_-_Santiago_-_Pacífico","Regiones_Hidrológico-Administrativas_(RHA)|IX_Golfo_Norte","Regiones_Hidrológico-Administrativas_(RHA)|X_Golfo_Centro","Regiones_Hidrológico-Administrativas_(RHA)|XI_Frontera_Sur","Regiones_Hidrológico-Administrativas_(RHA)|XII_Península_de_Yucatán","Regiones_Hidrológico-Administrativas_(RHA)|XIII_Aguas_del_Valle_de_México",
"Población_total_residente_en_los_hogares","2022","128,889,708","4,973,405","2,810,656","4,450,749","12,801,082","5,370,850","13,802,588","4,997,185","26,245,020","5,639,507","11,319,519","8,224,498","5,241,094","23,013,555",
"Población_total_residente_en_los_hogares","2020","126,760,856","4,941,253","2,690,985","4,556,053","11,706,958","5,584,636","13,346,396","4,846,478","25,872,577","5,008,783","10,704,769","8,052,638","5,153,564","24,295,766",
"Población_total_residente_en_los_hogares","2018","125,091,790","4,710,415","2,958,340","4,611,194","13,410,713","5,048,033","12,698,234","5,000,270","25,047,561","4,854,676","10,660,653","7,924,224","4,882,002","23,285,475",
"Población_total_residente_en_los_hogares","2016","122,643,890","4,588,858","2,941,451","4,373,793","11,512,821","5,559,016","12,335,264","4,935,207","23,868,311","5,194,364","10,899,794","7,752,193","4,712,198","23,970,620",
"Población_total_residente_en_los_hogares","2014","119,906,312","4,419,053","2,786,967","4,348,784","10,356,444","5,489,387","12,486,950","4,750,349","23,837,388","4,542,961","10,930,540","7,542,644","4,533,306","23,881,539",
