"Periodo","Tasa_de_ocupación_carcelaria_federal",
"2024","73.4113475177305",
"2023","73.1136044880785",
"2022","66.5357643758766",
"2021","54.8497267759563",
"2020","55.7650273224044",
"2019","52.2983284883721",
"2018","46.5423182833688",
