"Periodo","Personas_afectadas_por_la_ocurrencia_de_desastres",
"2022","262,373",
"2021","355,463",
"2020","1,752,188",
"2019","4,468,768",
"2018","1,046,875",
"2017","19,908,486",
"2016","5,464,681",
"2015","2,858,993",
"2014","1,411,555",
"2013","3,168,549",
"2012","1,025,781",
"2011","1,774,567",
"2010","1,990,456",
"2009","555,819",
"2008","1,501,457",
"2007","3,059,063",
"2006","545,833",
"2005","825,741",
"2004","120,978",
"2003","1,177,812",
"2002","7,379,317",
"2001","170,905",
"2000","50,355",
