"Periodo","Número_de_personas_muertas,_desaparecidas_y_afectadas_directamente_atribuido_a_desastres_por_cada_100_000_habitantes",
"2022","202.023004441726",
"2021","276.075190602125",
"2020","1,371.43410988047",
"2019","3,530.94132519766",
"2018","839.970190880823",
"2017","16,050.5014430596",
"2016","4,469.6333976685",
"2015","2,363.09634382033",
"2014","1,179.51233360479",
"2013","2,676.79003236306",
"2012","876.865544786559",
"2011","1,534.36030355254",
"2010","1,742.58222469654",
"2009","493.043163899272",
"2008","1,349.50610299651",
"2007","2,786.83376637032",
"2006","504.144371933846",
"2005","771.111529689627",
"2004","114.485326781711",
"2003","1,125.21507494694",
"2002","7,135.86802692577",
"2001","167.62353411662",
"2000","50.0070315109514",
