"Periodo","Número_de_pasajeros_transportados_en_modo_marítimo",
"2024","19,793,457",
"2023","20,000,900",
"2022","16,106,564",
"2021","9,450,525",
"2020","7,308,317",
"2019","19,938,671",
"2018","18,688,618",
"2017","17,429,209",
"2016","15,271,726",
"2015","13,685,019",
"2014","11,948,092",
"2013","9,968,572",
"2012","10,267,715",
"2011","10,813,732",
"2010","11,792,876",
