"Serie","Periodo","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Estados_Unidos_de_Norteamérica_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Países_latinoamericanos_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|Otros_países_Sexo_(t-h-m-na)|No_especificado","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Total","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Hombres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|Mujeres","Residencia_habitual_fuera_de_México_o_no_especificada|No_especificado_Sexo_(t-h-m-na)|No_especificado",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2023","33","30","3","0","0","0","0","0","0","0","0","0","28","19","5","4",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2022","5","3","2","0","0","0","0","0","0","0","0","0","31","23","7","1",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2021","8","4","4","0","0","0","0","0","1","1","0","0","14","13","1","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2020","4","4","0","0","0","0","0","0","0","0","0","0","29","24","5","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2019","2","0","2","0","0","0","0","0","0","0","0","0","16","13","2","1",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2018","4","2","2","0","0","0","0","0","0","0","0","0","29","20","9","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2017","6","4","2","0","1","1","0","0","0","0","0","0","8","7","1","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2016","5","3","2","0","1","1","0","0","1","1","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2015","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Defunciones_atribuidas_a_intoxicaciones_involuntarias,_según_la_residencia_habitual_fuera_de_México_o_no_especificada","2014","7","4","3","0","2","2","0","0","0","0","0","0","0","0","0","0",
