"Serie","Periodo","Sexo|Total_Hijos_sobrevivientes_menores_de_5|Total","Sexo|Total_Hijos_sobrevivientes_menores_de_5|Menos_de_1_año","Sexo|Total_Hijos_sobrevivientes_menores_de_5|1_año","Sexo|Total_Hijos_sobrevivientes_menores_de_5|2_años","Sexo|Total_Hijos_sobrevivientes_menores_de_5|3_años","Sexo|Total_Hijos_sobrevivientes_menores_de_5|4_años","Sexo|Hombres_Hijos_sobrevivientes_menores_de_5|Total","Sexo|Hombres_Hijos_sobrevivientes_menores_de_5|Menos_de_1_año","Sexo|Hombres_Hijos_sobrevivientes_menores_de_5|1_año","Sexo|Hombres_Hijos_sobrevivientes_menores_de_5|2_años","Sexo|Hombres_Hijos_sobrevivientes_menores_de_5|3_años","Sexo|Hombres_Hijos_sobrevivientes_menores_de_5|4_años","Sexo|Mujeres_Hijos_sobrevivientes_menores_de_5|Total","Sexo|Mujeres_Hijos_sobrevivientes_menores_de_5|Menos_de_1_año","Sexo|Mujeres_Hijos_sobrevivientes_menores_de_5|1_año","Sexo|Mujeres_Hijos_sobrevivientes_menores_de_5|2_años","Sexo|Mujeres_Hijos_sobrevivientes_menores_de_5|3_años","Sexo|Mujeres_Hijos_sobrevivientes_menores_de_5|4_años",
"Hijos_sobrevivientes_menores_de_5_años_cuyo_nacimiento_se_ha_registrado_ante_una_autoridad_civil","2023","7,331,711","1,111,203","1,392,278","1,438,705","1,608,652","1,780,873","3,697,358","577,495","697,816","714,716","813,674","893,657","3,634,353","533,708","694,462","723,989","794,978","887,216",
"Hijos_sobrevivientes_menores_de_5_años_cuyo_nacimiento_se_ha_registrado_ante_una_autoridad_civil","2018","8,980,967","1,377,338","1,751,821","1,886,282","2,041,243","1,924,283","4,540,713","695,398","877,377","936,709","1,014,303","1,016,926","4,440,254","681,940","874,444","949,573","1,026,940","907,357",
"Hijos_sobrevivientes_menores_de_5_años_cuyo_nacimiento_se_ha_registrado_ante_una_autoridad_civil","2014","9,462,030","1,491,444","1,843,626","1,986,439","2,083,872","2,056,649","4,854,212","794,293","955,098","1,006,690","1,056,119","1,042,012","4,607,818","697,151","888,528","979,749","1,027,753","1,014,637",
