"Serie","Periodo","hablantes_lengua_indígena|Total","hablantes_lengua_indígena|Hombres","hablantes_lengua_indígena|Mujeres",
"Total_de_población_de_15_años_y_más_que_se_traslada_al_trabajo","2024","3,118,957","2,065,627","1,053,330",
"Total_de_población_de_15_años_y_más_que_se_traslada_al_trabajo","2019","3,273,636","2,324,185","949,451",
"Total_de_población_de_15_años_y_más_que_se_traslada_al_trabajo","2014","2,511,497","1,822,413","689,084",
