"Serie","Periodo","hablantes_lengua_indígena|Total","hablantes_lengua_indígena|Hombres","hablantes_lengua_indígena|Mujeres",
"Tiempo_de_traslado_al_trabajo_(minutos_por_semana)","2024","1,041,886,100","755,762,304","286,123,796",
"Tiempo_de_traslado_al_trabajo_(minutos_por_semana)","2019","1,350,729,470","1,053,317,292","297,412,178",
"Tiempo_de_traslado_al_trabajo_(minutos_por_semana)","2014","1,050,992,952","826,735,324","224,257,628",
