"Periodo","Niveles_medios_anuales_de_partículas_suspendidas_(PM2.5)_en_las_ciudades_(ponderado_por_la_población)",
"2023","20.5084134559611",
"2022","20.6102094636381",
"2021","20.5242027072897",
