"Serie","Periodo","Población_Zonas_Metropolitanas|Total","Población_Zonas_Metropolitanas|ZMVM","Población_Zonas_Metropolitanas|ZMVT","Población_Zonas_Metropolitanas|ZMM",
"Población_total_de_las_AGEBS_urbanas_i,_en_la_zona_metropolitana_j","2023","25,902,476","19,672,824","1,527,850","4,701,802",
"Población_total_de_las_AGEBS_urbanas_i,_en_la_zona_metropolitana_j","2022","25,902,548","19,672,896","1,527,850","4,701,802",
"Población_total_de_las_AGEBS_urbanas_i,_en_la_zona_metropolitana_j","2021","25,902,548","19,672,896","1,527,850","4,701,802",
