"Periodo","Población_de_18_años_y_más_bisexual,_gay_o_lesbiana_u_otra_orientación",
"2022","2,264,696",
"2021","ND",
"2020","ND",
"2019","ND",
"2018","ND",
"2017","2,674,113",
