"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2024","86,030","79,558","6,472",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2023","86,852","80,725","6,127",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2022","88,345","82,134","6,211",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2021","92,856","86,292","6,564",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2020","86,302","80,409","5,893",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2019","71,025","66,413","4,612",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2018","69,535","65,105","4,430",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2017","66,419","62,025","4,394",
"Población_de_adolescentes_y_adultos_reclusos_sin_sentencia","2016","65,649","61,356","4,293",
