"Periodo","Intensidad_energética_medida_en_función_de_la_energía_primaria_y_el_PIB",
"2024","210.524",
"2023","230.187",
"2022","254.557",
"2021","239.125",
"2020","194.17",
"2019","193.909",
"2018","202.474",
"2017","233.503",
"2016","253.789",
"2015","280.002",
"2014","305.943",
"2013","331.802",
"2012","324.757",
"2011","338.156",
"2010","344.331",
"2009","380.692",
"2008","347.066",
"2007","346.513",
"2006","360.929",
"2005","374.761",
"2004","354.337",
