"Periodo","Población_estimada_al_cierre_del_año_con_base_al_Censo_Nacional_de_Población_y_Vivienda",
"2024","126,014,031.853323",
"2023","126,014,031.853323",
"2022","112,336,537.840407",
"2021","112,336,537.840407",
"2020","111,629,340.840966",
"2019","112,409,526.196573",
"2018","112,409,526.196573",
