"Serie","Periodo","Grupo_de_edad|Antes_de_los_15_años","Grupo_de_edad|Antes_de_los_18_años","Grupo_de_edad|Hablantes_de_lengua_indígena_antes_de_los_15_años","Grupo_de_edad|Hablantes_de_lengua_indígena_antes_de_los_18_años","Grupo_de_edad|Nacidas_en_México_antes_de_los_15_años","Grupo_de_edad|Nacidas_en_México_antes_de_los_18_años",
"Mujeres_entre_20_y_24_años_que_ya_estaban_casadas_o_en_una_unión_estable_antes_de_los_15_años_(o_antes_de_los_18_años)","2023","188,842","918,158","NS","81,799","ND","ND",
"Mujeres_entre_20_y_24_años_que_ya_estaban_casadas_o_en_una_unión_estable_antes_de_los_15_años_(o_antes_de_los_18_años)","2018","176,042","1,003,870","NS","75,467","174,288","997,300",
"Mujeres_entre_20_y_24_años_que_ya_estaban_casadas_o_en_una_unión_estable_antes_de_los_15_años_(o_antes_de_los_18_años)","2014","186,442","1,071,217","25,066","89,855","186,117","1,065,648",
