"Serie","Periodo","Escolaridad_y_sin_escolaridad|Total","Escolaridad_y_sin_escolaridad|Sin_escolaridad","Escolaridad_y_sin_escolaridad|Primaria","Escolaridad_y_sin_escolaridad|Secundaria","Escolaridad_y_sin_escolaridad|Media_superior","Escolaridad_y_sin_escolaridad|Superior",
"Población_total","2024","86,621,605","2,141,445","15,998,336","23,709,710","21,636,652","23,097,978",
"Población_total","2021","83,684,692","2,610,871","16,320,634","22,522,378","20,781,960","21,448,849",
"Población_total","2018","79,096,971","3,141,205","17,549,882","21,532,998","15,405,279","21,435,361",
"Población_total","2015","76,157,088","2,888,380","18,903,800","21,246,738","16,130,361","16,987,809",
