"Serie","Periodo","Materiales|Total","Materiales|Biomasa","Materiales|Combustibles_fósiles","Materiales|Minerales_metálicos","Materiales|Minerales_no_metálicos",
"Exportaciones_directas","2024","74,702,708","17,966,222","51,236,739","2,482,313","3,017,434",
"Exportaciones_directas","2023","73,407,612","18,409,432","51,236,899","1,009,346","2,751,935",
"Exportaciones_directas","2022","79,049,749","20,545,464","51,236,964","3,258,319","4,009,002",
"Exportaciones_directas","2021","85,952,143","21,959,230","55,813,428","4,088,047","4,091,438",
"Exportaciones_directas","2020","94,645,054","20,408,272","61,913,068","3,190,596","9,133,118",
"Exportaciones_directas","2019","99,255,154","23,996,067","62,116,231","2,116,354","11,026,502",
"Exportaciones_directas","2018","98,137,968","16,904,977","66,447,481","3,463,925","11,321,585",
"Exportaciones_directas","2017","88,649,922","16,410,292","65,237,083","2,784,391","4,218,156",
"Exportaciones_directas","2016","89,239,648","16,856,964","65,165,302","2,792,823","4,424,559",
"Exportaciones_directas","2015","84,126,945","14,395,813","63,195,304","2,111,269","4,424,559",
"Exportaciones_directas","2014","82,711,928","14,140,539","62,341,163","4,128,236","2,101,990",
"Exportaciones_directas","2013","91,994,148","12,955,545","65,176,342","11,653,697","2,208,564",
"Exportaciones_directas","2012","89,343,028","13,233,121","68,022,076","6,090,092","1,997,739",
"Exportaciones_directas","2011","91,600,513","11,524,720","72,568,396","6,044,498","1,462,899",
"Exportaciones_directas","2010","91,423,324","11,296,023","74,089,568","4,790,444","1,247,289",
"Exportaciones_directas","2009","84,704,992","13,085,722","67,767,733","2,491,187","1,360,350",
"Exportaciones_directas","2008","95,569,672","13,209,137","78,293,644","2,396,134","1,670,757",
"Exportaciones_directas","2007","107,012,403","9,404,974","93,848,535","1,880,113","1,878,781",
"Exportaciones_directas","2006","110,721,370","8,544,470","98,393,672","1,749,316","2,033,912",
"Exportaciones_directas","2005","112,286,660","8,346,626","99,746,382","2,064,533","2,129,119",
"Exportaciones_directas","2004","112,789,238","6,169,285","103,001,323","1,445,274","2,173,356",
"Exportaciones_directas","2003","110,854,794","6,705,253","101,585,782","1,021,602","1,542,157",
