"Serie","Periodo","Materiales|Total","Materiales|Biomasa","Materiales|Combustibles_fósiles","Materiales|Minerales_metálicos","Materiales|Minerales_no_metálicos",
"Importaciones_directas","2024","93,973,691","82,732,452","4,651,302","2,822,095","3,767,842",
"Importaciones_directas","2023","87,854,678","77,755,203","2,921,743","4,060,923","3,116,809",
"Importaciones_directas","2022","87,926,423","78,276,915","3,354,750","2,980,933","3,313,825",
"Importaciones_directas","2021","80,189,912","68,163,440","5,703,239","3,048,409","3,274,824",
"Importaciones_directas","2020","63,440,655","52,509,303","5,378,318","1,729,258","3,823,776",
"Importaciones_directas","2019","67,492,245","55,188,718","6,090,375","2,581,194","3,631,958",
"Importaciones_directas","2018","72,976,488","56,860,566","8,303,337","3,929,671","3,882,914",
"Importaciones_directas","2017","67,081,927","50,203,113","11,134,163","2,390,517","3,354,134",
"Importaciones_directas","2016","65,964,579","46,950,618","12,226,765","4,051,556","2,735,640",
"Importaciones_directas","2015","57,319,614","43,667,975","9,027,551","1,860,981","2,763,107",
"Importaciones_directas","2014","53,830,832","38,256,811","8,560,570","1,744,020","5,269,431",
"Importaciones_directas","2013","50,803,596","38,135,703","8,131,217","1,850,340","2,686,336",
"Importaciones_directas","2012","50,558,758","39,120,117","6,867,748","1,711,047","2,859,846",
"Importaciones_directas","2011","57,967,282","44,644,468","4,985,785","1,773,673","6,563,356",
"Importaciones_directas","2010","46,601,785","38,722,766","3,377,447","1,688,570","2,813,002",
"Importaciones_directas","2009","44,682,500","39,420,991","2,660,598","965,945","1,634,966",
"Importaciones_directas","2008","48,849,512","38,874,428","2,818,847","4,474,787","2,681,450",
"Importaciones_directas","2007","42,946,391","34,545,393","2,433,628","3,424,020","2,543,350",
"Importaciones_directas","2006","43,924,615","32,901,168","2,843,436","4,167,535","4,012,476",
"Importaciones_directas","2005","40,310,524","30,148,805","3,026,273","4,580,445","2,555,001",
"Importaciones_directas","2004","40,650,508","29,655,537","4,826,906","3,858,938","2,309,127",
"Importaciones_directas","2003","39,681,941","28,849,979","4,772,685","3,858,938","2,200,339",
