"Serie","Periodo","Sexo|Total_Tiempo_total_en_el_trabajo_grupos_de_edad|15-19_años","Sexo|Total_Tiempo_total_en_el_trabajo_grupos_de_edad|20-29_años","Sexo|Total_Tiempo_total_en_el_trabajo_grupos_de_edad|30-39_años","Sexo|Total_Tiempo_total_en_el_trabajo_grupos_de_edad|40-49_años","Sexo|Total_Tiempo_total_en_el_trabajo_grupos_de_edad|50-59_años","Sexo|Total_Tiempo_total_en_el_trabajo_grupos_de_edad|60_años_y_más","Sexo|Hombres_Tiempo_total_en_el_trabajo_grupos_de_edad|15-19_años","Sexo|Hombres_Tiempo_total_en_el_trabajo_grupos_de_edad|20-29_años","Sexo|Hombres_Tiempo_total_en_el_trabajo_grupos_de_edad|30-39_años","Sexo|Hombres_Tiempo_total_en_el_trabajo_grupos_de_edad|40-49_años","Sexo|Hombres_Tiempo_total_en_el_trabajo_grupos_de_edad|50-59_años","Sexo|Hombres_Tiempo_total_en_el_trabajo_grupos_de_edad|60_años_y_más","Sexo|Mujeres_Tiempo_total_en_el_trabajo_grupos_de_edad|15-19_años","Sexo|Mujeres_Tiempo_total_en_el_trabajo_grupos_de_edad|20-29_años","Sexo|Mujeres_Tiempo_total_en_el_trabajo_grupos_de_edad|30-39_años","Sexo|Mujeres_Tiempo_total_en_el_trabajo_grupos_de_edad|40-49_años","Sexo|Mujeres_Tiempo_total_en_el_trabajo_grupos_de_edad|50-59_años","Sexo|Mujeres_Tiempo_total_en_el_trabajo_grupos_de_edad|60_años_y_más",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_por_grupos_de_edad","2019","35.54","66.65","77.16","74.72","68.68","46.77","35.36","63.93","74.92","72.81","67.87","46.49","35.71","69.24","79.05","76.36","69.38","47",
"Promedio_de_horas_semanales_dedicadas_al_trabajo_no_remunerado_y_remunerado_combinados_(carga_total_de_trabajo),_por_grupos_de_edad","2014","33.22","64.08","75.24","73.02","65.91","44.32","32.38","62.74","73.1","71.57","65.45","44.24","34.07","65.26","77.02","74.26","66.3","44.38",
