"Periodo","Total_de_unidades_económicas_que_reportaron_ser_víctima_de_algún_acto_de_corrupción_por_parte_de_un_empleado_de_gobierno,_servidor_público,_una_tercera_persona_o_coyote_a_nombre_de_un_empleado_de_gobierno_o_servidor_público",
"2023","169,768.6522",
"2021","134,382.3309",
"2019","200,432.964631285",
"2017","247,267.119755669",
"2015","218,983.53213236",
