"Periodo","Canasta_mensual_(1.90_dlls)",
"2020","623.739706850033",
"2018","581.093852807378",
"2016","519.321454621842",
"2014","492.783484063948",
"2012","457.340154258436",
"2010","422.88351390834",
"2008","388.163964397851",
"2006","353.423445357889",
"2005","341.584648147759",
"2004","328.607505052035",
"2002","301.31716026855",
"2000","270.156629158436",
"1998","212.400246975789",
"1996","154.311907705317",
"1994","83.4603166965961",
"1992","71.3304224854274",
