"Periodo","INPC_(2011=100,_agosto_de_cada_año)",
"2020","107.867",
"2018","100.492",
"2016","89.809333493599",
"2014","85.219965142136",
"2012","79.090540296893",
"2010","73.131749500306",
"2008","67.127492266209",
"2006","61.119608647242",
"2005","59.072255360862",
"2004","56.82804118156",
"2002","52.108560301264",
"2000","46.719785188278",
"1998","36.731632103784",
"1996","26.68607171493",
"1994","14.433286645444",
"1992","12.335592231401",
