"Periodo","PIB_a_precios_corrientes",
"2020","23,073,727.0485",
"2018","23,517,607.8715",
"2016","19,539,870.0115",
"2014","17,259,799.4205",
"2012","15,626,906.6345",
"2010","13,282,061.034",
"2008","12,256,863.46925",
"2006","10,538,114.5065",
"2005","9,441,350.13675",
"2004","8,693,240.00225",
"2002","7,160,498.6555",
"2000","6,464,301.719",
"1998","4,586,365.652",
"1996","3,020,033.02675",
"1994","1,779,753.50825",
"1992","1,233,723",
