"Periodo","Deflactor_(base_2011=100)",
"2020","1.42614144854987",
"2018","1.32863439650378",
"2016","1.18739570917759",
"2014","1.12671831545491",
"2012","1.04567938021455",
"2010","0.966896448101389",
"2008","0.88751239079655",
"2006","0.808080387986862",
"2005","0.781011725823908",
"2004","0.751340307683736",
"2002","0.688942657809087",
"2000","0.617696071313279",
"1998","0.485639750953409",
"1996","0.352824431676379",
"1994","0.190826743340122",
"1992","0.163092506268003",
