"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2024","6,971,737","3,083,219","3,888,518",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2023","6,944,938","3,099,124","3,845,814",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2022","6,427,609","2,951,656","3,475,953",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2021","6,895,815","3,255,746","3,640,069",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2020","6,818,253","3,233,904","3,584,349",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2019","8,159,780","3,896,493","4,263,287",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2018","8,656,700","4,303,871","4,352,829",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2017","8,832,001","4,523,247","4,308,754",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2016","7,850,661","4,127,626","3,723,035",
"Población_de_18_años_y_más_víctima_de_violencia_física_o_sexual","2015","7,815,601","4,159,287","3,656,314",
