"Periodo","Población_total",
"2021","128,972,439",
"2020","127,792,286",
"2019","126,577,691",
"2018","125,327,797",
"2017","124,041,731",
"2016","122,715,165",
"2015","121,347,800",
"2014","119,936,411",
"2013","118,453,929",
"2012","116,935,670",
"2011","115,367,452",
"2010","113,748,671",
"2009","112,095,388",
"2008","110,405,454",
"2007","108,744,845",
"2006","107,155,391",
"2005","105,669,369",
"2004","104,272,444",
"2003","102,890,474",
