"Periodo","Valor_agregado_bruto_del_sector_de_la_cultura_en_términos_reales_del_año_t-1",
"2024","705,362",
"2023","688,447",
"2022","630,054",
"2021","577,830",
"2020","724,918",
"2019","722,190",
"2018","720,062",
"2017","706,180",
"2016","712,929",
"2015","662,153",
"2014","627,862",
"2013","638,617",
"2012","632,540",
"2011","603,893",
"2010","605,022",
"2009","638,973",
