"Serie","Periodo","Sexo|Total_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_15_años_y_más","Sexo|Total_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_15_a_19_años","Sexo|Total_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_20_a_24_años","Sexo|Total_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|Urbano","Sexo|Total_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|Rural","Sexo|Hombres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_15_años_y_más","Sexo|Hombres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_15_a_19_años","Sexo|Hombres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_20_a_24_años","Sexo|Hombres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|Urbano","Sexo|Hombres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|Rural","Sexo|Mujeres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_15_años_y_más","Sexo|Mujeres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_15_a_19_años","Sexo|Mujeres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|De_20_a_24_años","Sexo|Mujeres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|Urbano","Sexo|Mujeres_Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo_ni_reciben_capacitación|Rural",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2024","202,583","92,401","110,182","145,465","57,118","148,959","71,773","77,187","103,893","45,066","53,624","20,629","32,995","41,572","12,052",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2023","209,332","92,741","116,591","152,695","56,638","151,898","68,894","83,004","109,281","42,617","57,434","23,847","33,587","43,414","14,020",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2022","211,612","102,913","108,699","151,906","59,706","160,126","78,649","81,478","113,832","46,294","51,486","24,264","27,222","38,074","13,412",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2021","214,580","99,229","115,352","153,660","60,920","159,738","76,225","83,513","114,043","45,695","54,843","23,004","31,839","39,618","15,225",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2020","248,435","117,115","131,321","192,400","56,035","185,409","90,644","94,765","142,206","43,203","63,026","26,471","36,555","50,194","12,832",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2019","210,888","106,080","104,808","158,957","51,931","155,415","80,898","74,517","115,320","40,095","55,473","25,182","30,291","43,637","11,836",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2018","193,486","92,189","101,296","141,832","51,653","147,613","71,018","76,595","106,401","41,211","45,873","21,171","24,702","35,431","10,442",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2017","204,504","106,431","98,073","152,034","52,470","151,750","80,423","71,327","112,531","39,219","52,754","26,008","26,747","39,503","13,251",
"Jóvenes_de_15_a_24_años_que_no_estudian,_no_tienen_empleo,_no_recibe_capacitación,_no_usa_su_tiempo_en_actividades_domésticas_no_remuneradas","2016","194,616","100,895","93,721","135,519","59,098","144,946","77,782","67,164","96,211","48,735","49,670","23,113","26,558","39,308","10,363",
