indicator_id,title,ods_number,unit,loaded,n_observations
11R.2.1B,"11r.2.1b Tiempo promedio (en minutos) de traslado al trabajo, desglosado por hablantes de lengua indígena",11,Promedio (minutos por semana),True,3
11R.2.1C,"11r.2.1c Tiempo promedio (en minutos) de traslado al trabajo, desagregado por tamaño de localidad",11,Promedio (minutos por semana),True,3
11R.2.1D,"11r.2.1d Tiempo promedio (en minutos) de traslado al trabajo, desglosado por grupo de edad",11,Promedio (minutos por semana),True,3
12.2.2.A,12.2.2.a Consumo material interno en términos absolutos,12,Toneladas,True,22
12.2.2.B,12.2.2.b Consumo material interno per cápita,12,Toneladas per cápita,True,22
12.2.2.C,12.2.2.c Consumo material interno por PIB,12,Kilogramos por pesos mexicanos a precios de 2018,True,22
12.5.1.A,12.5.1.a Porcentaje de residuos sólidos urbanos recolectados reciclables,12,Porcentaje,True,6
12.B.1,12.b.1 Implementación de herramientas contables estándar para supervisar los aspectos económicos y ambientales de la sostenibilidad del turismo,12,Número de tablas,True,22
12N.1.1,12n.1.1 Porcentaje de municipios con disposición adecuada de residuos sólidos urbanos,12,Porcentaje,True,6
12N.2.1,12n.2.1 Uso de fertilizante fosfatados (Kg/Ha),12,Kilogramos por Hectárea (Kg/Ha),True,11
12R.5.1.A,12r.5.1.a Proporción de residuos sólidos urbanos recolectados de manera selectiva respecto del total de residuos sólidos urbanos recolectados,12,Porcentaje,True,7
13.1.1,"13.1.1 Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes",13,Tasa por cada 100 mil habitantes.,True,23
13N.1.1.A,13n.1.1.a Excedencia Anual Acumulada Promedio de Partículas PM2.5 respecto del nivel crítico de protección a la salud,13,Microgramos por metro cúbico (µg/m3),True,6
13N.1.1.B,13n.1.1.b Excedencia Anual Acumulada Promedio de Ozono(O3) respecto del nivel crítico de protección a la salud,13,Partes por millón (ppm),True,6
13N.1.2,13n.1.2 Fortalecimiento de capacidades adaptativas de los municipios para responder al cambio climático,13,Porcentaje,True,3
13N.2.1,13n.2.1 Intensidad de carbono por la quema de combustibles fósiles,13,Kilogramos de CO2 (Kg CO2) /PIB en millones de dólares a paridad de poder de compra corriente (ppc),True,32
13R.1.1,"13r.1.1 Ocurrencia de eventos naturales extremos y desastres, desglosada por tipo",13,Número de desastres,True,25
13R.3.1,"13r.3.1 Emisiones de gases de efecto invernadero, desglosadas por sector (actividad económica)",13,Gigagramos de bióxido de carbono equivalente (Gg CO2e),True,30
14.5.1,14.5.1 Cobertura de las zonas protegidas en relación con las zonas marinas,14,Porcentaje,True,32
14.A.1,14.a.1 Proporción del Presupuesto Federal para Investigación Científica y Desarrollo Experimental asignado a la Secretaría de Marina,14,Porcentaje,True,19
14R.2,14r.2 Área de manglares,14,Hectáreas,True,15
14R.5.1,14r.5.1 Cobertura de las zonas protegidas en relación con las zonas marinas,14,Porcentaje,True,32
15.1.1,15.1.1 Superficie forestal como proporción de la superficie total,15,Porcentaje,True,15
15.1.2,"15.1.2 Proporción de lugares importantes para la diversidad biológica terrestre y del agua dulce que forman parte de zonas protegidas, desglosada por tipo de ecosistema",15,Porcentaje,True,31
15.4.1,15.4.1 Lugares importantes para la biodiversidad de las montañas incluidos en zonas protegidas,15,Porcentaje,True,26
15.4.2.,15.4.2. Índice de cobertura verde de las montañas,15,Porcentaje,True,1
15.5.1,15.5.1 Proporción de especies en peligro de extinción,15,Porcentaje,False,0
15N.1.1,"15n.1.1 Porcentaje de ANP terrestres que incrementan o mantienen su superficie con cobertura vegetal, o que presentan pérdidas menores al 5%",15,Porcentaje,True,1
15N.2.1,15n.2.1 Tasa anual de deforestación bruta a nivel nacional,15,Porcentaje,True,24
15R.1A,15r.1a Cobertura de las zonas terrestres protegidas en relación con el territorio terrestre,15,Porcentaje,True,32
15R.1B,"15r.1b Área de humedales incluidos en la Convención relativa a los Humedales de Importancia Internacional, especialmente como Hábitat de Aves Acuáticas (Convención de Ramsar)",15,Hectáreas,True,39
16.1.1,"16.1.1 Número de defunciones por homicidio por cada 100 000 habitantes, desglosado por sexo y edad",16,Casos por cada 100 000 habitantes,True,15
16.1.3.A,16.1.3.a Proporción de la población que ha sufrido violencia física en los últimos 12 meses,16,Porcentaje,True,10
16.1.3.B,16.1.3.b Proporción de la población que ha sufrido violencia psicológica en los últimos 12 meses,16,Porcentaje,True,10
16.1.3.C,16.1.3.c Proporción de la población que ha sufrido violencia sexual en los últimos 12 meses,16,Porcentaje,True,10
16.1.4,16.1.4 Proporción de la población que se siente segura al caminar sola por la noche en su zona de residencia,16,Porcentaje,True,5
16.3.1.A,16.3.1.a Proporción de víctimas de violencia física en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente,16,Porcentaje,True,10
16.3.1.B,16.3.1.b Proporción de víctimas de violencia psicológica en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente,16,Porcentaje,True,10
16.3.1.C,16.3.1.c Proporción de víctimas de violencia sexual en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente,16,Porcentaje,False,0
16.3.1,16.3.1 Proporción de víctimas de violencia en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente,16,Porcentaje,True,10
16.3.2,16.3.2 Proporción de detenidos que no han sido condenados en el conjunto de la población reclusa total,16,Porcentaje,True,9
16.5.1,"16.5.1 Proporción de personas que han tenido al menos un contacto con un funcionario público y que han pagado un soborno a un funcionario público, o a las que un funcionario público les ha pedido un soborno, durante los últimos 12 meses",16,Porcentaje,True,5
16.5.2,"16.5.2 Proporción de negocios que han tenido al menos un contacto con un funcionario público y que han pagado un soborno a un funcionario público, o a los que un funcionario público les ha pedido un soborno, durante los últimos 12 meses",16,Porcentaje,True,5
16.6.1,"16.6.1 Gastos primarios del gobierno como proporción del presupuesto aprobado original, desglosados por sector (o por códigos presupuestarios o elementos similares)",16,Porcentaje,True,7
16.6.2.A,16.6.2.a Satisfacción con el servicio de educación pública obligatoria,16,Porcentaje,True,6
16.6.2.B,16.6.2.b Satisfacción con el servicio de educación pública universitaria,16,Porcentaje,True,6
16.7.1B,16.7.1b Representatividad de grupos poblacionales en las administraciones públicas,16,Ratio,False,0
16.7.1C,16.7.1c Representatividad de grupos poblacionales en el poder judicial,16,Ratio,False,0
16.7.2.,16.7.2. Proporción de la población que considera que la adopción de decisiones es inclusiva y participativa,16,Porcentaje,True,1
16.9.1A,16.9.1a Porcentaje de hijas e hijos sobrevivientes menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil por edad según sexo,16,Porcentaje,True,3
16.9.1B,16.9.1b Porcentaje de hijas e hijos sobrevivientes menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil por entidad federativa y edad,16,Porcentaje,True,3
16.B.1.,16.b.1. Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses por motivos de discriminación prohibidos por el derecho internacional de los derechos humanos.,16,Porcentaje,True,2
16N.1.1,16n.1.1 Prevalencia delictiva en personas de 18 años y más,16,Porcentaje,True,15
16N.1.2,16n.1.2 Prevalencia delictiva en unidades económicas,16,Porcentaje,True,7
16N.2.1,16n.2.1 Porcentaje de personas de 18 años y más que identifica a la policía estatal y manifiesta que le genera confianza,16,Porcentaje,True,10
16N.2.2,16n.2.2 Porcentaje de personas de 18 años y más que identifica a los Ministerios Públicos y Fiscalías estatales y manifiesta que les generan confianza,16,Porcentaje,True,10
16N.2.3,"16n.2.3 Porcentaje de delitos ocurridos y denunciados donde el trato recibido al momento de la denuncia, por parte del Ministerio Público, fue calificado como bueno o excelente",16,Porcentaje,True,15
16N.2.4,16n.2.4 Porcentaje de la población de 18 años y más que tiene mucha o algo de confianza en jueces,16,Porcentaje,True,10
16N.3.1.A,16n.3.1.a Porcentaje de la población de 18 años y más satisfecha con el servicio de calles y avenidas,16,Porcentaje,True,6
16N.3.1.B,16n.3.1.b Porcentaje de la población de 18 años y más satisfecha con el servicio de parques y jardines públicos,16,Porcentaje,True,6
16N.3.1.C,16n.3.1.c Porcentaje de la población de 18 años y más satisfecha con el servicio de agua potable,16,Porcentaje,True,6
16N.3.1.D,16n.3.1.d Porcentaje de la población de 18 años y más satisfecha con el servicio de drenaje y alcantarillado,16,Porcentaje,True,5
16N.3.1.E,16n.3.1.e Porcentaje de la población de 18 años y más satisfecha con el servicio de alumbrado público,16,Porcentaje,True,6
16N.3.1.F,16n.3.1.f Porcentaje de la población de 18 años y más satisfecha con el servicio de recolección de basura,16,Porcentaje,True,6
16N.3.2,16n.3.2 Confianza en el Gobierno Federal,16,Porcentaje,False,0
16R.3A,16r.3a Tasa de ocupación carcelaria federal,16,Porcentaje,True,7
16R.3B,16r.3b Tasa de ocupación carcelaria estatal,16,Porcentaje,True,10
17.1.1,"17.1.1 Total de los ingresos del gobierno como proporción del PIB, desglosado por fuente",17,Porcentaje,True,29
17.1.2,17.1.2 Proporción del presupuesto nacional financiado por impuestos internos,17,Porcentaje,True,31
17.3.2,17.3.2 Volumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total,17,Porcentaje,True,30
17.4.1,17.4.1 Servicio de la deuda como proporción de las exportaciones de bienes y servicios,17,Porcentaje,True,15
17.6.1,"17.6.1 Accesos del servicio fijo de Internet por cada 100 habitantes, desglosados por velocidad",17,Tasa por cada 100 habitantes,True,11
17.8.1.A,"17.8.1.a Proporción de personas que usan Internet, dentro y fuera del hogar",17,Porcentaje,True,34
17.8.1,"17.8.1 Proporción de personas que usan internet, por entidad federativa",17,Porcentaje,False,0
17N.1.1,17n.1.1 Autonomía fiscal de gobiernos subnacionales (ingresos propios como proporción de los ingresos totales de estados),17,Porcentaje,True,17
17N.2.1,17n.2.1 Porcentaje de indicadores globales y regionales para los que se encuentra información pública en la plataforma de indicadores,17,Porcentaje,True,3
17N.4.1,17n.4.1 Crecimiento de los puestos de trabajo ocupados totales del sector de la cultura,17,Porcentaje,True,16
17N.4.2,17n.4.2 Crecimiento real del valor agregado bruto del sector de la cultura,17,Porcentaje,True,16
17R.19.A,"17r.19.a Porcentaje del presupuesto público que representa a) la oficina nacional de estadística, b) el sistema estadístico nacional, c) el instituto geográfico nacional y d) el sistema geográfico nacional",17,Porcentaje,True,11
1N.1.1.A,"1n.1.1.a Porcentaje de la población en situación de pobreza, por desglose geográfico y grupo poblacional (Entidad federativa)",1,Porcentaje,False,0
1N.1.1.B,"1n.1.1.b Porcentaje de la población en situación de pobreza, por desglose geográfico y grupo poblacional (Municipio o demarcación territorial)",1,Porcentaje,False,0
1N.1.1,1n.1.1 Porcentaje de la población en situación de pobreza,1,Porcentaje,True,4
1N.2.1,1n.2.1 Proporción de partos con asistencia de personal sanitario capacitado,1,Porcentaje,True,34
1N.2.2,1n.2.2 Proporción de la población de un año de edad con esquema básico completo de vacunación,1,Porcentaje,True,32
1N.3.1.A,"1n.3.1.a Porcentaje de población de 65 años o más que recibe jubilación o pensión (contributiva o no contributiva) por un monto igual o mayor al valor promedio de la línea de pobreza por ingresos, por desglose geográfico",1,Porcentaje,False,0
1N.3.1,1n.3.1 Porcentaje de población de 65 años o más que recibe jubilación o pensión (contributiva o no contributiva) por un monto igual o mayor al valor promedio de la línea de pobreza por ingresos,1,Porcentaje,False,0
1N.3.2.A,"1n.3.2.a Porcentaje de población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral, por desglose geográfico",1,Porcentaje,False,0
1N.3.2,1n.3.2 Porcentaje de población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral,1,Porcentaje,False,0
