periodo,1.1.1,1.2.1(1),1.2.1(2),1.2.1.A,1.2.2(1),1.2.2(2),1.3.1.,1.4.1,1.4.2,1.5.1,1.5.4,1.A.1,1.A.2,10.1.1.,10.2.1,10.3.1.,10.4.1,10N.1.1,10N.2.1,10N.3.1,10R.4.1A,10R.4.1B,11.1.1,11.2.1,11.3.1,11.3.2,11.4.1,11.5.1,11.6.1.A,11.6.2.A,11.6.2.B,11.7.1.,11N.1.1,11N.2.1,11R.2.1A,11R.2.1B,11R.2.1C,11R.2.1D,12.2.2.A,12.2.2.B,12.2.2.C,12.5.1.A,12.B.1,12N.1.1,12N.2.1,12R.5.1.A,13.1.1,13N.1.1.A,13N.1.1.B,13N.1.2,13N.2.1,13R.1.1,13R.3.1,14.5.1,14.A.1,14R.2,14R.5.1,15.1.1,15.1.2,15.4.1,15.4.2.,15N.1.1,15N.2.1,15R.1A,15R.1B,16.1.1,16.1.3.A,16.1.3.B,16.1.3.C,16.1.4,16.3.1,16.3.1.A,16.3.1.B,16.3.2,16.5.1,16.5.2,16.6.1,16.6.2.A,16.6.2.B,16.7.2.,16.9.1A,16.9.1B,16.B.1.,16N.1.1,16N.1.2,16N.2.1,16N.2.2,16N.2.3,16N.2.4,16N.3.1.A,16N.3.1.B,16N.3.1.C,16N.3.1.D,16N.3.1.E,16N.3.1.F,16R.3A,16R.3B,17.1.1,17.1.2,17.3.2,17.4.1,17.6.1,17.8.1.A,17N.1.1,17N.2.1,17N.4.1,17N.4.2,17R.19.A,1N.1.1,1N.2.1,1N.2.2,1N.3.3,1R.1.1,2.1.2(1),2.1.2(2),2.2.1,2.2.2,2.2.2(1),2.2.2(2),2.2.3.A,2.2.3.B,2N.1.1,2N.2.1,2N.2.2,2N.3.1,3.1.1,3.1.2,3.2.1,3.2.2,3.3.1,3.3.2A,3.3.2B,3.3.2C,3.3.3,3.3.4,3.3.5,3.4.1,3.4.2.A,3.4.2.B,3.6.1,3.7.1,3.7.2.A,3.7.2.B,3.9.1,3.9.2A,3.9.2B,3.9.3A,3.9.3B,3.C.1,3N.1.1,3N.1.2,3N.1.3,3N.1.4,3N.3.1,3N.4.1.B,3N.4.1A,3R.3.C(1),3R.3A,3R.3B,3R.7.1,3R.7.A,3R.7.B,4.1.2,4.2.1,4.2.2,4.3.1,4.5.1A,4.5.1B,4.5.1C,4.5.1D,4.5.1E,4.5.1F,4.6.1.A,4.A.1.A,4.A.1.B,4.A.1.C,4.A.1.D1,4.A.1.D2,4.A.1.E,4.A.1.F,4.A.1.G,4.C.1.A,4.C.1.B,4.C.1.C,4N.1.1,4N.2.1,4R.3.1,4R.6.1.A(1),4R.6.1.B(1),5.2.1.A,5.2.1.B,5.2.2.A,5.2.2.B,5.3.1A,5.3.1B,5.4.1A,5.4.1B,5.4.1C,5.5.1.A,5.5.1.B,5.5.1.C,5.5.1.D,5.5.1.E,5.6.1,5.A.1A,5.A.1B,5N.1.1,5N.1.2,5N.1.3,5N.1.4,5N.2.1,5N.3.1,5R.4.1A,5R.4.1B,5R.4.1C,5R.4.1D,6.1.1.A,6.1.1.B,6.1.1.C,6.2.1.A,6.2.1.C,6.3.1,6.3.2.,6.4.1,6.4.2,6.5.1.,6.5.2.,6.6.1.A,6.6.1.B,6.6.1.C,6.6.1.D,6.6.1.E,6.A.1.,6.B.1.A,6.B.1.B,6.B.1.C,6.B.1.D,6N.1.1,6N.1.1.C,6N.2.1,6N.2.2,7.1.2,7.2.1,7.3.1,7N.1.1,7N.2.1,7N.3.1,8.1.1,8.10.1.A,8.10.1.B,8.10.2,8.2.1,8.2.1(2),8.3.1,8.3.1(2),8.4.2.A,8.4.2.B,8.4.2.C,8.5.1A,8.5.1B,8.5.1C,8.5.1D,8.5.2,8.5.2(2),8.6.1C,8.7.1,8.8.1,8.9.1,8N.1.1,8N.2.2,8N.3.1A,8N.3.1B,8N.3.1C,8N.3.1D,8N.4.1,8R.6.1,9.1.1,9.1.2.A,9.1.2.B,9.2.1.A,9.2.1.B,9.2.2,9.2.2(2),9.3.1,9.3.2,9.4.1,9.5.1,9.5.2,9.B.1,9.C.1,9N.2.1,9N.3.1
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426227824296632,,477528.93,,,,,,,,,,,,60347.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5032100420672,,,,0.006949152,,,,,,,88.15,,,,,,,,,,,,,,,,82.74,72.31,36.96,16.22,0.12,17.54,17.54,,30.84,1.46,79.01,,2.4583451031853,12.0,,,,,,,,,,,,,,,,,,,0.15025,2.33143,,,,,,,,,,,0.990702088,,,95.6023683488148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364318142255394,,,,,,
1992,10.5817702294042,,,,,,,,,,,,,,,,,,,,,,35.6778,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403999000361065,,479929.69,,,,,,,,,,,,60347.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8504397554143,,,,0.020414645,,,,,,,80.59,,,3.0034265032515,,,,,,,,,,,,,81.92,73.33,35.42,16.56,0.12,16.48,16.48,,18.43,1.11,90.0,,2.5597757164603,12.0,,,,,,,,,,,,,,,,,,,0.15545,2.88195,,,,,,,,,,,0.991516001,,,95.7229964874621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35332865072142,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381199454515229,,483660.29,0.329476314,,,0.329476314,35.28125,7.6615126,,,,,7.592090874,60347.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7519840779624,,,,0.033342917,,,,,,,99.13,69.77404,,,,,,,,,,,,,,,80.98,74.75,34.08,15.95,0.12,16.95,16.95,,17.67,2.14,95.0,,2.6257484790017,26.0,,,,,,,,,,,,,,,,,,,0.16085,3.51146,,,,,,,,,,,0.992340122,,,95.8442392000841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.872,,,,,,,,,,,,,,,,,,0.344682079283005,,,,,,
1994,12.4881183720923,,,,,,,,,,,,,,,,,,,,,,31.0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.380093937171311,,513962.0,0.518157007,,,0.518157007,,8.3704391,,,,,8.30101729,60347.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.139330529518,,,,0.051140996,,,,,,,98.7,87.89243,,3.20682090656782,,,,,,,,,,,,,80.12,76.55,32.89,15.52,0.13,17.98,17.98,,14.14,1.1,100.0,,2.8474135276312,27.0,,,,,,,,,,,,,,,,,,,0.16755,3.82833,,,,,,,,,,,0.993180986,,,95.9673048117218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.671,,,,,,,,,,,,,,,,,,0.35085947640879,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.380024944383399,,503565.25,0.529677163,,,0.529677163,,8.514506,,,,,8.445084207,647400.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9572355810636,40.3998925071463,,,,0.120177649,,,,,,,92.45,88.28973,,,,,,,,,,,,,,,78.77,77.55,31.71,15.33,0.13,22.57,22.57,,8.02,1.39,100.0,,3.1205119163868,26.0,,,,,,,,,,,,,,,,,,,0.17607,4.30888,,,,,,,,,,,0.994037389,,,96.0922075991212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2375000248084,,,,,,,,,6.88481502281005,,,,9.942,,,,,,,,,,,,,,,15.6325433445203,,,0.365355684293349,,,,,,
1996,18.2900127880672,,,,,,,,,,,,,,,,,,,,,,31.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359745515156349,,521689.45,0.640550116,,,0.640550116,,8.5731763,,,,,8.503754497,1042268.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1713565670197,38.8165663351218,0.9794735104617646,,,0.235195821,,,,,,,100.63,92.96439,,6.38472994808167,,,,,,,,,,,,,78.39,79.04,30.54,14.94,0.13,22.04,22.04,,6.69,1.11,100.0,,3.2059670474822,27.0,,,,,,,,,,,,,,,,,,,0.18609,4.61462,,,,,,,,,,,0.994844986,,,96.2174807750057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44049526524544,,53.6822662456029,,,,,,,,,5.24853487525309,,,,9.657,,,,,,,,,,,,,,,16.6445897912137,,,0.356346775086032,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345023960560895,,551984.37,0.640550116,,,0.640550116,,8.7684381,,,,,8.699016323,1042268.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3064939382045,41.3836693140031,0.9316600665599848,,,0.73701312,,,,,,,114.41,91.08033,,,,,,,,,,,,,,,76.35,80.11,29.3,14.73,0.13,24.7,24.7,,5.04,1.21,100.0,,3.5324967157863,21.0,,,,,,,,,,,,,,,,,,,0.19638,4.37038,,,,,,,,,,,0.995669526,,,96.3450672059993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76974185810266,,54.2134863278204,,,,,,,,,4.05508338537488,,,,9.236,,,,,,,,,,,,,,,16.9505216726167,,,0.351720215112209,,,,,,
1998,17.5332771796285,,,,,,,,,,,,,,,,,,,,,,28.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343483838409815,,577829.13,0.65737826,,,0.65737826,,9.104692,,,,,9.035270272,1042268.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0493950838615,48.7305257376228,1.0110760955040845,,,1.485825884,,,,,,,56.99,75.36022,,7.05079540660189,,,,,,,,,,,,,76.35,80.55,27.96,14.6,0.13,22.23,22.23,,4.97,0.84,100.0,223.6079723,3.4447614656144,27.0,12.15,,,,,20.6,13.0,0.81,10.0,,,,,,,,,,0.20638,4.21698,,,,,,,,,,,0.99651263,,,96.4742861531429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.761265308171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62203486873338,,52.9222179145746,,,,,,,,,3.57296951675954,,,,9.18,,,,,,,,,,,,,,,18.3742617062351,,,0.346742027275515,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326868717993415,,569142.31,0.71515468,,,0.71515468,,9.2173596,16.9642504705473,,,,9.147937843,1042268.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2259282536521,51.7712952225347,0.933528050064665,,,2.176996978,,,,,,,97.28,75.00062,,,,,,,,,,,,,,,77.31,80.7,26.59,13.96,0.13,20.19,20.19,,25.51,0.63,100.0,227.1388358,3.3995816114189,24.0,12.08,,,,,19.09,6.0,0.79,15.0,,,,,,,,,,0.21594,4.26261,,,,,,,,,,,0.9973658,,,96.6052978867916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7500782396088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05240352776652,,52.5900600212969,,,,,,,,,2.4883503543928,,,,9.363,,,,,,,,,,,,,,,19.1371335554665,,,0.332372307397815,,,,,,
2000,12.5789102224617,,,,,,,,,50.076410010719,,,,,,,,,,,,,23.5667,,,,,50.0070315109514,,,,,,,,,,,,,,,,,,,50.0070315109514,,,,0.315409936035435,13.0,587814.41,0.92150054,,,0.92150054,,9.4578577,16.9642504705473,,,,9.388435966,1103975.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2528438691523,46.9393297716614,0.8843304556011392,,,5.94475806,,,,,,,115.81,76.6143,,4.62786037906486,,,,,,,,,,,,2.46,71.31,81.45,25.23,13.58,0.14,18.55,18.55,,13.54,0.49,100.0,221.4965004,3.5015340089907,15.0,12.18,,,,,17.22,11.0,0.71,16.0,,,,,,,,,,0.22563,4.22265,,,,,,,,,,,0.997882579,,,96.8114423698619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9577558712421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02056490527782,,51.3364613917064,,,,,,,,,2.57464078220002,,,,9.526,,,,,,,,,,,,,,,19.556752996361,,,0.326838935025042,,,,,,
