"Periodo","Valor_agregado_censal_bruto_de_las_unidades_económicas_manufactureras_micro_y_pequeñas",
"2023","339,001.269",
"2018","239,096.273",
"2013","166,342.341",
"2008","105,800.844",
"2003","87,675.828",
