"Periodo","Proporción_del_valor_agregado_bruto_del_sector_industrial_correspondiente_a_las_pequeñas_industrias",
"2023","2.16365512853335",
"2018","2.39484231275974",
"2013","2.77951273709",
"2008","1.98743025984397",
"2003","2.59911389329137",
