"Serie","Periodo","Brecha_en_el_tiempo_y_por_grupos_de_edad|12-19_años","Brecha_en_el_tiempo_y_por_grupos_de_edad|20-29_años","Brecha_en_el_tiempo_y_por_grupos_de_edad|30-39_años","Brecha_en_el_tiempo_y_por_grupos_de_edad|40-49_años","Brecha_en_el_tiempo_y_por_grupos_de_edad|50-59_años","Brecha_en_el_tiempo_y_por_grupos_de_edad|60_años_y_más",
"Brecha_en_el_tiempo_promedio_que_hombres_y_mujeres_destinan_a_quehaceres_domésticos,_por_grupos_de_edad","2024","-7.564062283","-23.68256482","-29.16157274","-25.91312678","-24.92410132","-16.75199792",
"Brecha_en_el_tiempo_promedio_que_hombres_y_mujeres_destinan_a_quehaceres_domésticos,_por_grupos_de_edad","2019","-8.928411131","-26.89353871","-32.48742856","-29.57594971","-28.24027446","-19.67601763",
"Brecha_en_el_tiempo_promedio_que_hombres_y_mujeres_destinan_a_quehaceres_domésticos,_por_grupos_de_edad","2014","-9.576520162","-27.75993811","-34.30941346","-30.6210176","-30.32951125","-20.39028046",
"Brecha_en_el_tiempo_promedio_que_hombres_y_mujeres_destinan_a_quehaceres_domésticos,_por_grupos_de_edad","2009","-11.21538815","-28.1856938","-35.20003119","-33.82793064","-30.58276976","-20.91440947",
