"Periodo","Adultos_(de_15_años_o_más)_con_una_cuenta_en_un_banco_u_otra_institución_financiera_con_un_proveedor_de_servicios_monetarios_en_México",
"2022","46,827,813",
"2017","33,112,176",
"2014","33,322,079",
"2011","22,060,567",
