"Periodo","Proporción_de_adultos_(de_15_años_o_más)_con_una_cuenta_en_un_banco_u_otra_institución_financiera_o_con_un_proveedor_móvil_de_servicios_monetarios",
"2022","48.9714741706848",
"2017","36.9319200515747",
"2014","39.1408443450927",
"2011","27.4293839931488",
