"Periodo","Población_ocupada_de_15_años_y_más",
"2024","59,365,965",
"2023","58,896,384",
"2022","57,322,399",
"2021","55,165,865",
"2020","50,927,075",
"2019","54,614,549",
"2018","53,161,791",
"2017","51,680,279",
"2016","50,863,635",
"2015","49,828,505",
"2014","48,617,093",
"2013","48,412,082",
"2012","47,886,308",
"2011","46,359,443",
"2010","45,357,589",
"2009","44,650,293",
"2008","44,134,607",
"2007","43,429,704",
"2006","42,527,042",
