"Periodo","Tasa_de_crecimiento_del_PIB_por_persona_ocupada",
"2024","-1.7629822",
"2023","-0.1048655",
"2022","2.2992346",
"2021","-4.4926946",
"2020","-4.588089",
"2019","-5.6065699",
"2018","-4.7467939",
"2017","-4.9966982",
"2016","-1.6969055",
"2015","-3.1911602",
"2014","0.0294217",
"2013","-0.5677395",
"2012","-2.1174667",
"2011","1.2962624",
"2010","0.0298085",
"2009","-6.9356227",
"2008","-1.9863377",
"2007","-2.9600811",
"2006","3.2872544",
