"Periodo","Desastres_geofísicos",
"2024","1",
"2023","2",
"2022","6",
"2021","7",
"2020","11",
"2019","3",
"2018","12",
"2017","12",
"2016","1",
"2015","8",
"2014","3",
"2013","8",
"2012","7",
"2011","5",
"2010","12",
"2009","4",
"2008","3",
"2007","5",
"2006","3",
"2005","3",
"2004","2",
"2003","3",
"2002","3",
"2001","1",
"2000","1",
