"Serie","Periodo","Población_con_jubilación_o_pensión|Nacional","Población_con_jubilación_o_pensión|Hombres","Población_con_jubilación_o_pensión|Mujeres","Población_con_jubilación_o_pensión|Población_analfabeta","Población_con_jubilación_o_pensión|Población_indígena","Población_con_jubilación_o_pensión|Hombres_indígenas","Población_con_jubilación_o_pensión|Mujeres_indígenas","Población_con_jubilación_o_pensión|Personas_con_discapacidad","Población_con_jubilación_o_pensión|Adultos_mayores_(65_años_o_más)","Población_con_jubilación_o_pensión|Hombres_adultos_mayores","Población_con_jubilación_o_pensión|Mujeres_adultos_mayores","Población_con_jubilación_o_pensión|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Ámbito_rural","Población_con_jubilación_o_pensión|Ámbito_urbano",
"Población_de_65_años_o_más_que_recibe_una_jubilación_o_pensión_igual_o_mayor_al_valor_promedio_de_la_línea_de_pobreza_por_ingresos","2022","3,754.298 a/ ","2,166.84 a/ ","1,587.458 a/ ","172.195 a/ ","122.538 a/ ","86.26 a/ ","36.278 a/ ","948.189 a/ ","3.754298 a/ ","2,166.84 a/ ","1,587.458 a/ ","1,774.452 a/ ","81.817 a/ ","1,271.243 a/ ","88.459 a/ ","1,746.406 a/ ","110.092 a/ ","933.789 a/ ","423.88 a/ ","330.211 a/ ","3,424.087 a/ ",
"Población_de_65_años_o_más_que_recibe_una_jubilación_o_pensión_igual_o_mayor_al_valor_promedio_de_la_línea_de_pobreza_por_ingresos","2020","3,112.871 a/ ","1,885.755 a/ ","1,227.116 a/ ","169.371 a/ ","99.362 a/ ","72.987 a/ ","26.375 a/ ","808.075 a/ ","3,112.871 a/ ","1,885.755 a/ ","1,227.116 a/ ","1,558.384 a/ ","54.301 a/ ","997.501 a/ ","51.134 a/ ","1,524.426 a/ ","86.845 a/ ","699.794 a/ ","347.835 a/ ","250.938 a/ ","2,861.933 a/ ",
"Población_de_65_años_o_más_que_recibe_una_jubilación_o_pensión_igual_o_mayor_al_valor_promedio_de_la_línea_de_pobreza_por_ingresos","2018","1,868.169 a/ ","1,182.302 a/ ","685.867 a/ ","61.259 a/ ","67.149 a/ ","42.944 a/ ","ND b/ ","ND","1,868.169 a/ ","1,182.302 a/ ","685.867 a/ ","959.373 a/ ","48.584 a/ ","529.166 a/ ","40.303 a/ ","959.875 a/ ","48.082 a/ ","400.844 a/ ","166.945 a/ ","147.132 a/ ","1,721.037 a/ ",
"Población_de_65_años_o_más_que_recibe_una_jubilación_o_pensión_igual_o_mayor_al_valor_promedio_de_la_línea_de_pobreza_por_ingresos","2016","1,967.501 a/ ","1,245.13 a/ ","722.371 a/ ","95.544 a/ ","69.816 a/ ","41.097 a/ ","28.719 c/ ","ND","1,967.501 a/ ","1,245.13 a/ ","722.371 a/ ","1,017.156 a/ ","37.149 a/ ","580.815 a/ ","49.039 a/ ","995.916 a/ ","59.284 a/ ","452.301 a/ ","175.248 a/ ","143.537 a/ ","1,823.964 a/ ",
