"Serie","Periodo","Población_con_jubilación_o_pensión|Nacional","Población_con_jubilación_o_pensión|Hombres","Población_con_jubilación_o_pensión|Mujeres","Población_con_jubilación_o_pensión|Población_analfabeta","Población_con_jubilación_o_pensión|Población_indígena","Población_con_jubilación_o_pensión|Hombres_indígenas","Población_con_jubilación_o_pensión|Mujeres_indígenas","Población_con_jubilación_o_pensión|Personas_con_discapacidad","Población_con_jubilación_o_pensión|Adultos_mayores_(65_años_o_más)","Población_con_jubilación_o_pensión|Hombres_adultos_mayores","Población_con_jubilación_o_pensión|Mujeres_adultos_mayores","Población_con_jubilación_o_pensión|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_jubilación_o_pensión|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_jubilación_o_pensión|Ámbito_rural","Población_con_jubilación_o_pensión|Ámbito_urbano",
"Población_total_de_65_años_o_más_que_recibe_una__jubilación_o_pensión","2022","10,677.075 a/ ","4,819.515 a/ ","5,857.56 a/ ","1,782.877 a/ ","1,027.548 a/ ","488.858 a/ ","538.69 a/ ","3,402.734 a/ ","10.677075 a/ ","4,819.515 a/ ","5,857.56 a/ ","3,974.061 a/ ","150.292 a/ ","4,695.525 a/ ","315.111 a/ ","3,939.456 a/ ","184.046 a/ ","3,297.184 a/ ","1,711.345 a/ ","2,556.677 a/ ","8,120.398 a/ ",
"Población_total_de_65_años_o_más_que_recibe_una__jubilación_o_pensión","2020","8,676.963 a/ ","4,117.183 a/ ","4,559.78 a/ ","1,674.535 a/ ","831.384 a/ ","394.097 a/ ","437.287 a/ ","2,868.616 a/ ","8,676.963 a/ ","4,117.183 a/ ","4,559.78 a/ ","3,397.212 a/ ","100.549 a/ ","3,636.86 a/ ","189.44 a/ ","3,333.1 a/ ","164.094 a/ ","2,554.284 a/ ","1,271.139 a/ ","1,991.201 a/ ","6,685.762 a/ ",
"Población_total_de_65_años_o_más_que_recibe_una__jubilación_o_pensión","2018","7,176.705 a/ ","3,473.968 a/ ","3,702.737 a/ ","1,500.365 a/ ","646.581 a/ ","336.151 a/ ","ND b/ ","ND","7,176.705 a/ ","3,473.968 a/ ","3,702.737 a/ ","2,865.581 a/ ","99.84 a/ ","2,958.638 a/ ","200.354 a/ ","2,847.225 a/ ","118.274 a/ ","2,101.769 a/ ","1,058.432 a/ ","1,784.275 a/ ","5,392.43 a/ ",
"Población_total_de_65_años_o_más_que_recibe_una__jubilación_o_pensión","2016","6,981.808 a/ ","3,347.536 a/ ","3,634.272 a/ ","1,560.912 a/ ","650.838 a/ ","323.465 a/ ","327.373 c/ ","ND","6,981.808 a/ ","3,347.536 a/ ","3,634.272 a/ ","2,801.128 a/ ","89.884 a/ ","2,949.185 a/ ","193.001 a/ ","2,774.677 a/ ","118.203 a/ ","2,050.431 a/ ","1,086.616 a/ ","1,732.456 a/ ","5,249.352 a/ ",
