"Serie","Periodo","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|Total_de_15_a_49_años_de_edad_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_15_a_17_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_18_a_19_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_20_a_24_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_25_a_29_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_30_a_34_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_35_a_39_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_40_a_44_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_45_a_49_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_50_a_54_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_55_a_59_años_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|De_60_años_y_más_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Con_al_menos_un_incidente_de_violencia_sexual","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Sin_incidentes","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|No_especificado","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Calle_o_parque","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Transporte_público_<sup>1</sup>","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Casa_particular","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Instalaciones_de_la_escuela_o_trabajo_<sup>2</sup>","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Mercado,_plaza,_tianguis,_centro_comercial,_iglesia_<sup>3</sup>","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Otro_<sup>4</sup>","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|Lugar_no_especificado","Grupo_de_edad|No_especificado_Violencia_sexual__y_Lugar_de_la(s)_agresión(es)|A_través_de_medios_electrónicos",
"Mujeres_que_han_sufrido_en_los_12_meses_anteriores,_violencia_sexual_infligida_por_otra_persona_que_no_sea_un_compañero_íntimo","2021","10,009,354","23,775,438","64,321","7,849,087","2,749,167","928,016","1,801,749","1,367,549","228,263","NA","3,006,553","1,216,952","1,973,434","5,081","938,563","222,430","152,240","251,296","197,812","19,310","NA","489,499","940,563","1,144,219","2,672","790,450","233,592","108,820","194,205","158,153","33,800","NA","326,448","2,204,423","3,005,773","5,608","1,842,164","723,233","197,692","412,386","377,476","44,409","NA","771,647","1,693,683","3,253,455","11,590","1,340,527","510,999","142,157","310,510","254,920","41,408","NA","510,628","1,347,243","3,474,436","6,756","1,019,041","385,418","100,877","244,425","153,346","32,635","NA","353,926","1,042,842","3,525,059","8,699","792,836","268,062","84,036","168,381","85,329","19,682","NA","239,243","845,778","3,764,497","11,932","626,371","216,574","77,714","119,918","76,789","19,055","NA","182,446","717,870","3,634,565","11,983","499,135","188,859","64,480","100,628","63,724","17,964","NA","132,716","514,372","3,607,026","15,823","354,717","146,913","48,938","64,112","44,443","10,837","NA","81,929","286,018","3,134,371","14,597","196,508","74,931","28,325","27,891","17,758","5,660","NA","40,264","440,446","8,590,707","31,900","286,748","93,339","63,430","16,968","29,464","11,488","NA","33,789","9,078","28,981","1,037","4,858","2,068","2,984","1,875","0","0","NA","3,270",
"Mujeres_que_han_sufrido_en_los_12_meses_anteriores,_violencia_sexual_infligida_por_otra_persona_que_no_sea_un_compañero_íntimo","2016","9,208,713","23,670,744","2,728","7,340,217","2,419,982","660,729","1,373,830","1,018,278","185,404","NA","2,034,580","1,246,038","2,154,406","0","959,755","266,070","92,991","270,175","146,131","28,936","NA","426,161","827,378","1,256,116","0","702,253","185,371","61,123","125,392","119,538","12,844","NA","236,628","1,890,113","3,164,670","2,023","1,559,105","568,437","111,149","307,730","246,447","43,983","NA","447,895","1,460,359","3,199,525","0","1,205,547","420,548","108,145","209,933","170,989","27,901","NA","296,770","1,204,766","3,403,536","280","952,476","332,497","81,607","148,613","130,616","27,944","NA","210,230","1,029,856","3,569,659","0","796,842","259,472","80,996","133,068","86,741","18,453","NA","183,699","884,471","3,674,730","425","682,818","221,799","67,467","118,473","72,678","15,597","NA","133,048","665,732","3,248,102","0","481,421","165,788","57,251","60,446","45,138","9,746","NA","100,149","506,555","3,126,805","128","356,841","146,340","43,204","46,346","33,773","12,212","NA","60,470","269,894","2,579,413","0","166,007","80,043","33,248","37,988","10,401","5,948","NA","24,007","318,064","6,725,558","0","204,080","79,086","42,088","16,413","20,941","13,698","NA","24,722","21,353","71,785","0","17,175","6,685","434","3,978","478","446","NA","4,405",
"Mujeres_que_han_sufrido_en_los_12_meses_anteriores,_violencia_sexual_infligida_por_otra_persona_que_no_sea_un_compañero_íntimo","2011","6,050,242","25,069,491","105,503","5,493,050","734,721","545,793","1,011,924","78,226","319,253","11,112","NA","834,875","2,437,738","4,299","758,151","55,599","41,877","123,251","5,744","34,097","2,399","NA","662,254","1,585,120","6,307","608,471","57,913","46,872","100,081","4,823","28,001","314","NA","1,364,902","3,545,603","15,096","1,273,694","156,038","86,502","201,117","16,518","80,553","1,276","NA","974,617","3,454,972","14,257","883,217","121,578","92,280","167,261","15,398","50,407","2,779","NA","727,082","3,558,398","16,851","647,663","110,407","90,803","125,892","6,576","47,299","1,580","NA","653,557","3,784,497","19,629","579,573","106,800","76,335","120,546","14,423","35,365","1,000","NA","505,449","3,480,229","16,947","455,045","80,691","68,597","113,525","8,787","28,392","965","NA","327,506","3,222,934","12,117","287,236","45,695","42,527","60,251","5,957","15,139","799","NA","208,124","2,788,523","18,297","170,752","46,093","23,868","37,646","1,889","9,450","474","NA","107,510","2,312,992","13,253","88,030","19,738","12,473","15,702","2,289","9,366","229","NA","95,886","5,776,390","11,958","79,989","19,142","14,110","8,856","3,213","7,783","136","NA","10,377","54,515","0","9,780","2,481","753","751","588","0","87","NA",
