"Serie","Periodo","Sexo|Total_Grupos_de_edad_ocupados|Total","Sexo|Total_Grupos_de_edad_ocupados|De_15_a_24_años","Sexo|Total_Grupos_de_edad_ocupados|De_25_a_44_años","Sexo|Total_Grupos_de_edad_ocupados|De_45_a_64_años","Sexo|Total_Grupos_de_edad_ocupados|De_65_años_y_más","Sexo|Total_Grupos_de_edad_ocupados|No_especificado","Sexo|Hombres_Grupos_de_edad_ocupados|Total","Sexo|Hombres_Grupos_de_edad_ocupados|De_15_a_24_años","Sexo|Hombres_Grupos_de_edad_ocupados|De_25_a_44_años","Sexo|Hombres_Grupos_de_edad_ocupados|De_45_a_64_años","Sexo|Hombres_Grupos_de_edad_ocupados|De_65_años_y_más","Sexo|Hombres_Grupos_de_edad_ocupados|No_especificado","Sexo|Mujeres_Grupos_de_edad_ocupados|Total","Sexo|Mujeres_Grupos_de_edad_ocupados|De_15_a_24_años","Sexo|Mujeres_Grupos_de_edad_ocupados|De_25_a_44_años","Sexo|Mujeres_Grupos_de_edad_ocupados|De_45_a_64_años","Sexo|Mujeres_Grupos_de_edad_ocupados|De_65_años_y_más","Sexo|Mujeres_Grupos_de_edad_ocupados|No_especificado",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2024","53.03","41.68","56.32","54.9","45.58","54.14","54.3","42.13","57.58","56.96","46.72","55.7","50.82","40.82","54.26","51.24","42.99","51.26",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2023","47.51","37.5","50.39","49.28","40.86","49.54","48.61","38.12","51.36","51.18","42.15","51.84","45.56","36.29","48.78","45.98","37.58","47.26",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2022","42.49","33.34","45.02","44.44","35.52","39.09","43.36","33.85","45.71","45.93","37.76","36.84","40.93","32.31","43.85","41.76","29.88","42.48",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2021","39.93","30.46","41.99","42.61","34.71","41.73","40.6","30.77","42.59","43.81","35.75","41.54","38.67","29.83","40.91","40.36","32.12","42.19",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2020","37.52","28.89","39.24","40.23","31.43","36.04","38.03","29.13","39.7","41.06","33.02","33.72","36.56","28.38","38.4","38.65","27.67","44.81",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2019","34.69","27.53","36.44","36.88","27.98","36.33","35.39","27.94","36.93","38.21","29.21","35.55","33.36","26.68","35.54","34.34","24.94","38.79",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2018","33","26.03","34.59","35.03","28.28","29.8","33.57","26.42","35.04","36.05","29.27","29.18","31.87","25.19","33.74","33.02","25.7","31.55",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2017","31.37","24.45","32.89","33.7","25.98","31.48","31.83","24.88","33.17","34.53","27.31","31.61","30.45","23.55","32.34","32.04","22.55","31.06",
"Ingreso_medio_por_hora_de_empleadas_y_empleados,_desglosado_por_grupos_de_edad","2016","30.0366228829783","23.0902762111401","31.7302666066816","32.0133700802858","24.917992560753","27.7395673582784","30.5911783013447","23.4118020537312","32.1839048658383","32.9388655595092","26.4487462317779","24.4317825500215","28.9230523972501","22.4090947885471","30.8391413839379","30.2059136663542","20.8888773014328","32.4082826923439",
