"Periodo","Personas_muertas_por_la_ocurrencia_de_desastres",
"2024","633",
"2023","984",
"2022","496",
"2021","588",
"2020","399",
"2019","616",
"2018","501",
"2017","877",
"2016","495",
"2015","494",
"2014","485",
"2013","642",
"2012","623",
"2011","425",
"2010","535",
"2009","608",
"2008","530",
"2007","516",
"2006","708",
"2005","518",
"2004","336",
"2003","524",
"2002","496",
"2001","276",
"2000","70",
