"Periodo","Cambio_en_la_eficiencia_del_uso_del_agua_a_lo_largo_del_tiempo",
"2023","-0.330924292604629",
"2022","8.01840706171357",
"2021","4.35405587510771",
"2020","-8.22319193136981",
"2019","-0.786611525260309",
"2018","1.36646860360467",
"2017","2.14652211354115",
"2016","3.95084105704313",
"2015","1.80331278228654",
"2014","NA",
