"Serie","Periodo","Quintiles_de_Ingreso|Total_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|Total_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|Total_Cobertura_geografica|Rural","Quintiles_de_Ingreso|I_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|I_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|I_Cobertura_geografica|Rural","Quintiles_de_Ingreso|II_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|II_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|II_Cobertura_geografica|Rural","Quintiles_de_Ingreso|III_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|III_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|III_Cobertura_geografica|Rural","Quintiles_de_Ingreso|IV_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|IV_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|IV_Cobertura_geografica|Rural","Quintiles_de_Ingreso|V_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|V_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|V_Cobertura_geografica|Rural",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2024","709,825","431,192","278,633","331,062","141,148","189,914","139,265","91,618","47,647","108,576","82,612","25,964","73,293","63,938","9,355","57,629","51,876","5,753",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2022","715,022","423,440","291,582","324,744","139,952","184,792","124,199","77,551","46,648","101,210","73,497","27,713","91,505","68,659","22,846","73,364","63,781","9,583",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2020","932,094","626,870","305,224","386,006","221,579","164,427","196,633","135,144","61,489","136,706","95,944","40,762","116,194","91,066","25,128","96,555","83,137","13,418",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2018","547,424","309,615","237,809","262,233","114,225","148,008","99,448","57,004","42,444","73,979","51,269","22,710","57,088","41,051","16,037","54,676","46,066","8,610",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2016","490,760","306,270","184,490","234,306","111,969","122,337","94,762","57,185","37,577","65,255","54,967","10,288","47,718","40,351","7,367","48,719","41,798","6,921",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2014","502,445","311,012","191,433","241,304","112,263","129,041","109,875","78,147","31,728","42,582","29,294","13,288","47,363","37,123","10,240","61,321","54,185","7,136",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2012","455,535","272,667","182,868","186,552","69,315","117,237","110,489","77,201","33,288","95,710","74,179","21,531","33,032","25,216","7,816","29,752","26,756","2,996",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2010","577,288","370,376","206,912","303,439","156,102","147,337","97,276","64,568","32,708","67,369","49,192","18,177","63,836","57,954","5,882","45,368","42,560","2,808",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2008","557,933","321,243","236,690","271,188","110,918","160,270","139,464","87,156","52,308","59,907","41,367","18,540","50,437","47,134","3,303","36,937","34,668","2,269",
"Número_de_hogares_con_gasto_catastrófico_en_salud","2006","619,508","358,829","260,679","233,871","80,707","153,164","129,931","79,702","50,229","81,174","50,922","30,252","100,890","83,788","17,102","73,642","63,710","9,932",
