"Serie","Periodo","Población_con_acceso_a_guarderias|Nacional","Población_con_acceso_a_guarderias|Hombres","Población_con_acceso_a_guarderias|Mujeres","Población_con_acceso_a_guarderias|Población_indígena","Población_con_acceso_a_guarderias|Hombres_indígenas","Población_con_acceso_a_guarderias|Mujeres_indígenas","Población_con_acceso_a_guarderias|Personas_con_discapacidad","Población_con_acceso_a_guarderias|Jóvenes_(los_de_12_a_29_años)","Población_con_acceso_a_guarderias|Hombres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_acceso_a_guarderias|Hombres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_acceso_a_guarderias|Mujeres_(Menos_de_4_horas_a_cuidados)_<sup>1</sup>","Población_con_acceso_a_guarderias|Mujeres_(4_horas_o_más_a_cuidados)_<sup>1</sup>","Población_con_acceso_a_guarderias|Hombres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_acceso_a_guarderias|Hombres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_acceso_a_guarderias|Mujeres_(Menos_de_4_horas_a_hogar)_<sup>2</sup>","Población_con_acceso_a_guarderias|Mujeres_(4_horas_o_más_a_hogar)_<sup>2</sup>","Población_con_acceso_a_guarderias|Ámbito_rural","Población_con_acceso_a_guarderias|Ámbito_urbano",
"Población_ocupada_con_hijos(as)_de_seis_años_o_menos_que_tiene_acceso_a_guarderías_como_prestación_laboral","2022","1,706.501 a/ ","845.828 a/ ","860.673 a/ ","75.84 a/ ","40.871 a/ ","34.969 a/ ","24.525 b/ ","537.603 a/ ","599.609 a/ ","68.151 a/ ","545.765 a/ ","229.742 a/ ","656.869 a/ ","ND c/ ","683.895 a/ ","91.466 a/ ","169.275 a/ ","1,537.226 a/ ",
"Población_ocupada_con_hijos(as)_de_seis_años_o_menos_que_tiene_acceso_a_guarderías_como_prestación_laboral","2020","1,670.472 a/ ","800.131 a/ ","870.341 a/ ","61.136 a/ ","31.778 a/ ","29.358 a/ ","22.483 b/ ","539.041 a/ ","589.264 a/ ","45.558 a/ ","582.137 a/ ","192.918 a/ ","627.927 a/ ","7.169 b/ ","678.715 a/ ","96.355 a/ ","131.493 a/ ","1,538.979 a/ ",
"Población_ocupada_con_hijos(as)_de_seis_años_o_menos_que_tiene_acceso_a_guarderías_como_prestación_laboral","2018","1,714.011 a/ ","822.468 a/ ","891.543 a/ ","76.061 a/ ","42.6 a/ ","33.461 a/ ","ND","649.396 a/ ","589.995 a/ ","60.495 a/ ","536.592 a/ ","257.234 a/ ","646.161 a/ ","ND c/ ","702.764 a/ ","91.259 a/ ","149.783 a/ ","1,564.228 a/ ",
"Población_ocupada_con_hijos(as)_de_seis_años_o_menos_que_tiene_acceso_a_guarderías_como_prestación_laboral","2016","1,616.385 a/ ","760.743 a/ ","855.642 a/ ","48.161 a/ ","24.906 b/ ","23.255 a/ ","ND","586.152 a/ ","535.927 a/ ","80.353 a/ ","489.308 a/ ","276.456 a/ ","610.299 a/ ","ND c/ ","689.39 a/ ","76.537 a/ ","113.035 a/ ","1,503.35 a/ ",
