"Serie","Periodo","Población_debajo_de_umbral_de_pobreza|Nacional","Población_debajo_de_umbral_de_pobreza|Hombres","Población_debajo_de_umbral_de_pobreza|Mujeres","Población_debajo_de_umbral_de_pobreza|Menor_de_18_años","Población_debajo_de_umbral_de_pobreza|18_años_o_más","Población_debajo_de_umbral_de_pobreza|Entre_12_y_29_años_de_edad","Población_debajo_de_umbral_de_pobreza|De_0_a_11_años_y_de_30_años_o_más","Población_debajo_de_umbral_de_pobreza|De_65_años_o_más","Población_debajo_de_umbral_de_pobreza|Menor_de_65_años",
"Población_que_vive_por_debajo_del_umbral_nacional_de_la_pobreza,_desglosada_por_sexo_y_edad","2014","63,817.333","30,711.881","33,105.452","24,797.468","39,019.865","19,731.341","44,085.992","4,856.763","58,960.57",
"Población_que_vive_por_debajo_del_umbral_nacional_de_la_pobreza,_desglosada_por_sexo_y_edad","2012","60,578.53","29,060.686","31,517.844","24,110.657","36,467.873","18,607.941","41,970.589","4,470.722","56,107.808",
"Población_que_vive_por_debajo_del_umbral_nacional_de_la_pobreza,_desglosada_por_sexo_y_edad","2010","59,558.037","28,830.686","30,727.351","24,661.953","34,896.084","18,580.162","40,977.875","3,990.227","55,567.81",
"Población_que_vive_por_debajo_del_umbral_nacional_de_la_pobreza,_desglosada_por_sexo_y_edad","2008","54,687.228","26,150.88","28,536.348","23,801.738","30,885.49","17,336.39","37,350.838","3,560.14","51,127.088",
