"Periodo","Municipios_y_demarcaciones_territoriales_con_disposición_final_de_residuos_sólidos_urbanos",
"2022","2,318",
"2020","2,311",
"2018","2,269",
"2016","2,273",
"2014","2,314",
"2012","2,350",
