"Periodo","Municipios_y_demarcaciones_territoriales_que_disponen_los_residuos_sólidos_urbanos_en_sitios_de_disposición_final_con_infraestructura_para_el_control_de_la_fuga_de_lixiviados_y_biogases",
"2022","519",
"2020","463",
"2018","532",
"2016","553",
"2014","517",
"2012","416",
